text,label,gru_pred,cnn_pred,bert_pred
No 12-hour coma today. I had a nightmare that shook me awake. ,0,0,0,0
@SenseiRAM We missed you ,1,0,0,0
"@jonasbrothers dear nick jonas, please teach me how to play the glockenspiel. that is just about the coolest instrument name ever. ",1,1,1,1
Watching ''The Cleaner'' &amp; taking care of wifey. She's sick. ,0,0,0,0
Good morning everyone in this twitter world! Bangun jam segini mulu  http://myloc.me/23fl,0,1,1,1
so bored !  i want the Sims to hurry up and download,0,0,0,0
@KellyOlexa it is like boxers under pants....It is to be FREE or not to BE FREE!!!! ,1,1,1,0
Then - Brad Paisley ,1,1,1,1
"Checking in  Good morning twitter fam! I'm in Miami, up bright and early, ready to hit the gym! xo",1,1,1,1
"Bank card fraud victim  $1,600 spent in 24hs. $400 at Celebrities, $400 at Richards on Richards and $800 at Safeway.",0,1,1,0
"@mr_billiam did you get your yabbies and your yobbos mixed up, or something?  ",1,1,1,1
"@dontforgetchaos aaah, sorry, you know i love you really!! hee hee  ;)",1,1,1,0
"Oven has been on since 3:15... that's almost 3 hours!  3 loaves (1 cinnamon bread) &amp; 2.5 batches of rolls are baked. scones, not made yet ",0,1,1,0
Praying! I live like an hour away from where it happened. ,0,0,0,0
@HURM the way i have been feeling the last few days and nights... i think i have conficker... it tried playing opossum... it didnt work ,0,0,0,0
out of smokes and broke as a mothafuckerrr ,0,0,0,0
About to Hang out with Sadey ,1,1,1,0
@whataboutadam My sis didnt get hers either ,0,0,0,0
Morning to all! Hope its a nicer day where you are compaired to here. It's going to rain all day and the next 2 days. ,0,1,0,0
"Only problem was lack of sauce The sauce is awesome, but not enough ",0,0,1,0
Having a well-deserved Guinness ,1,1,1,1
I can NOT believe my baby girl is 3!! I know I'm  lame b/c I'm actually sad about this!!I don't want her to grow up boo hoo ,0,0,0,0
sunny morning ,1,1,1,1
"@sharathpatali right on ! Just bought this new computer, will be mig easier to get code done ",1,0,0,0
i have no idea how i'm going to fix things with me and landon! i want things back to normal but i don't know how and if that is possible ,0,0,0,0
"BPHS Orchestra spring concert tomorrow night!  7:00 pm @ the PAC! Freefreefree! B there or B square! As Reuben says, &quot;It's instupituous!&quot;",1,0,1,1
@regalaffair hey you are up early ,1,1,1,1
im like really bored. staring at my arms..the autographs are on my hands are kinda fading away. but the arm parts r still der ,1,0,0,0
@MissCaseyB I know what you mean  rain sucks...,0,0,0,0
is so tired from my workout..plus.. waiting to get some work soo bad.. UGH&gt;. i hate not having any money .. so much outcome and no income ,0,0,0,0
@EdMunster I know don't remind me  ha,0,0,0,0
I don't want my sister to go back ,0,0,0,0
Feeelin Pretty Shitty. All She Had to Do Was Txt me once to remind me why i fell For Her. Why Must She Fuck With me like This ,0,0,1,0
"@MSPMike Okay Mike, you have great photos, but can you take them right-side-up?  I'm getting a neck crick!  ",1,1,1,0
@mattsmind that's cause they are. I adopted them when my pup got into the nest &amp; ate the others. ,0,0,0,0
@JaneYee isnt traffic fantastic &lt;insert sarcasm&gt; ,1,1,1,0
@getmerohit poor sutil.... tried to hard to maintain his position ,0,0,0,0
"@Newy_ShortStack Hahai was gonna say xD shes absolutely everywhere, its hard not to have atleast heard of her. shes great ay? ",1,1,1,0
@annakiss I'm based in the Netherlands. But still on my bucket-list is a trip to the UK/London. I think otherwise of the photogenic part ,1,1,0,1
"@tweenkle77 @aileen2u2 @WTFJAY @meghanwood @MisterNoodle according to tweetdeck, I am my only friend ",0,1,1,1
Lions lost against South Africa 2day...  but we gave them a good match next time we will win ! xxx,0,1,0,1
"gonna watch the MTV awards, too bad I'm not there! ",0,0,0,1
@KalebNation my name is Ashley ,1,1,1,1
@mumalot I corrected myself ,0,1,1,0
Helping out @ Corner Stone tonight ,1,1,1,1
"wake up in Paris, but it's grey ..  need more sun !!",0,0,0,1
@shullygully yeah i watched the game! haha. felt really sleepy throughout the game though. kane must be depressed ,1,0,1,0
"@pythons it's a PT cruiser, sort of named itself  sad but moving on to custom skate. Might call it Rolly :p",1,0,0,0
@pogue  I was making a play on the term &quot;virtual seminar&quot;,1,1,1,0
@allieraebot r u feeling better? i really hope so..  im sad u were sick...,0,0,0,0
"aw so sweet froz yogey on a frozenass day. . .@Shaboobie &amp; @suupkamo, yall wanna get scooped up? bamfs minus you 2 righ now! ",0,0,1,0
sitting -- feet are in pain  from concert..but it was worth it,0,0,0,0
@bobbi10100 of course i do  xxx,1,1,1,1
didn't dare to go in my own room for like 15 minutes just because a freaky lizard was on the blinds. GAHH!! WIMP!!! ,0,0,0,0
@qillerm flip your flip flops then ,1,1,1,1
"http://twitpic.com/5dd11 - @DavidT2006 here's a shot of me baps, they don't taste as nice as I thought they would ",0,1,0,0
Rainy day blues.... Wish I wasn't enrolled again at school...  &quot;walang pasok bukas!!!!&quot;,0,0,0,0
About to see Up 3d! ,1,1,1,1
@Wossy Woo! Love Hugh Laurie! Have to be watchin the show this week ,1,1,1,1
"Overly emotional, tired, and I have a headache. ",0,0,0,0
"I'm hungry.  I'll eat noodles and nothing but noodles, is that bad?",0,0,0,0
@ceo08 by switching off tweetdeck and using twhirl ,1,1,1,0
Rachel over  stayed last night  out to the park again today ,1,0,1,1
@shezzitta thanks for the links to back to life - looking into it right now ,1,1,1,1
@maych88 : here in Bangalore also ,0,1,1,0
@FreddysFingers there's just no place for a little Ninja Bunny in Campbell ,0,1,1,1
cant wait till westlife cum back am missing them soo soo much  x,0,0,0,0
I have plans for today and friday wiff val n charweee ,1,1,1,1
Kinda cold to be laying out poolside ,0,0,0,0
"i feel bad for my brother... he graduated high school yesterday, but both my parents are here in egypt with me. he was all alone ",0,0,0,0
"omg. I haven't been on here in ages  Well, I'm starting to come back slowly but surely. ;3",0,0,0,0
@AlanCarr lookin forward to chattyman. the book was well  funny!   x,1,1,1,0
"hungry,tired,yet in a great mood! ",1,1,1,0
"At Meg's, Neck Ache From Plugged  xxx",0,0,0,0
"@danspace Missy Higgins? Ugh, call the police! ",1,0,0,0
"@stephenfry Oooo, Sound's good ",1,1,1,1
@cassandra2603 God what a cheery chat has he somehow can back into the news ? I know about Vera Drake hmm not pleasant  x,0,1,0,0
"after smoking for 16 years , i have now not had a smoke for 4 weeks and 1 day  woooohooooo happy days",1,1,1,0
@xnattsx not top bad thanks  and you?,1,1,1,1
"@MissMillions lololol...Good afternoon Miss MiL-Li-YONZ  Long night, ay? lol..Hope you're feeling better..",1,0,0,0
"@vampirefreak101 Hey thanks a lot for you coverage in Motepulciano,  congrats girl!!!!  You make me so happy!!! ",1,1,1,1
"@modus_operandi what is zaceed!? Also, nice tat @markdamgaard. ",1,1,1,1
"Ugh,my laptop randomly stopped working...*Panick*-Oh no,what have i done?! ",0,0,1,0
@KickingBuckets paul has a huge yin. Like a baby's arm ,0,0,0,0
still recovering from this weekend.  at least I'm off today...,0,0,0,0
"@tferraro @soverpeck @rhetter ACTUALLY...a potato is a tuber, but it's also known as a root vegetable...hey I'm Irish and know my spuds ",1,1,1,0
@boomx17 hey nothign have you checked out my website yet? ,1,1,1,0
@sarah_cawood I've fed the rays off Grand Cayman. It was awesome ,1,1,1,1
JUST ME AND THESE FOUR WALLS AGAIN la la la la la..................... screams! i dont like thunder! ,0,0,1,0
@lakersnation went 2 the 3rd one in grade7. dat was unforgettable. Maddog was dancing n everything.  i seriously want a parade dis year 2.,1,1,0,0
"@onesugarplease had an awesome weekend thanks, lots of miles on the bike!  hope your paella was good ",1,1,1,1
Sick daddy  send prayer his way,0,0,0,0
will get blackberry this sunday !!! ,1,1,1,1
"Ok, apparently BOTH broadcast sites are killing my machine today, so broadcast called off. Sorry. ",0,0,0,0
@annaoboe I feel guilty for stealing your Hart tweet now  I don't think he will actually reply an answer though,0,0,0,0
"great run tonight, now off to bed.. got to get up earlier to do my morning workout.. gonna be a long day tomorrow! got to go back to work ",0,0,1,0
"@chrisaffair haha, I AM! but beware, its addicting ",1,1,1,0
Thanks to the following for their awesome input: @StealingTheSun @ElizabethJoan @Schonste @ms_treesap @Beaudine  Thank yous &lt;3,1,1,1,1
23 or 24ï¿½C possible today. Nice ,1,1,1,1
@JenBunnyy i read jon and kate filed divorce papers this afternoon  plus a possible custody battle...i feel so bad for those adorable kids,0,0,0,0
Doing my hair with my icky thumb was a challenge. Accidentally banged it and it's started bleeding again ,0,0,0,0
"@Dribbby me too, its bad isn't it? doing well on your biology?  http://myloc.me/2hBr",1,0,0,0
@laurensbite What the....? I am so jealous! Where do we go for coverage? The &quot;go here for details&quot; wasn't clickable   Happy 4 you!!!!,0,0,1,0
@SaschaScarpulla i grew up with a siberian husky - spoiled me for life  love the name Valentino ,1,1,1,0
"@jakeashley http://twitpic.com/6gcq4 - it's freaking awesome,haha love the monacle ",1,1,1,1
@Lipvixen Did your Curves Lady look like Summer Glau?  Knowing the answer is probably 'no' ,0,1,1,0
@jo_whit  Of course I do.,0,1,1,0
"@wendywings hehe, better than nothing! What did you end up baking? ",1,1,1,0
@sherwinsteel and I still didn't get anything ,0,0,0,0
@mactavish no worries   I'm told a Twitterific fix is just waiting for Apple to get around to approving it.,1,0,1,0
@DaisyReyes ohh ok! thanks! i'll add you tomorrow! because i'm too lazy to open my ym! hehe! ,1,1,1,0
I wish I had the Sims 3 ,0,0,0,1
"omg.. omg David Carradine is dead  omg... yeah im in tears, such a talented guy (((",0,0,0,0
Tammy Tanusagarn not playing Wimbledon this year  Her Dad now helping my son,0,0,1,1
damn! just realized it was last weeks  chapter...no manga this week ,0,0,0,0
"i want to watch the star trek movie... but instead i'm here, sad day ",0,0,0,1
migraines are EVIL. but anyone who has ever had one knows that. especially when NOTHING helps. ,0,1,1,0
@JazNicole yes. Boo. But I can't forward.  u know effin loved.,0,0,0,0
On way home from the beach... Listening to the Hannity show. Back to reality &amp; the Recession ,0,0,1,1
what! babe!! lol  its not my fault! your the one with a hottie butt!!,1,1,1,0
@BonesCrazy24 They'll have to face the music someday! ,1,1,1,1
looking for pals on twitter - say hello and follow me ,1,1,1,1
@kentwalls i heard once u get 1 they r addictive. i can't wait to get my first tat but have to wait till i move out.house rule no tats ,0,1,0,0
SO EXCITED to dress ULTRA 80'S FOR SET TOMORROW!!!! OOOOOOhhhh the make-up ideas I am getting ,1,0,1,1
I wish we didn't have to leave today. ,0,0,0,0
@Tamarzipan dunno...just my mums card...my mum didnt buy me it.... ,0,0,1,0
@MikeMckenzy Jack &quot;The Fridge&quot; Mckenzy.   maybe he'll play for da Bears one day,1,1,1,0
studying for exams ,0,0,0,0
"@ajaedandridge lol, goodnight holla @ you later! ",1,1,1,0
@emmaXIII i'm sorry to hear about college i hope stuff get's better ,1,0,0,0
Finally get to lay down for a bit i have a major headache ,0,0,0,0
"Wedding today... not mine :L  urgh, I hate having to dress up    Nobody gets that though.... *total tomboy*",0,0,0,0
"im starving now, hix... ",0,0,0,0
"ï¿½ i am loving china glaze, does anyone have any suggestions on nice colours ? ",1,1,1,0
DAMN  Made $274/hr. probably going for even more.,1,0,0,0
Go here and chat with me  http://bit.ly/JpLJQ,1,1,1,1
@CashiToHo We have more of a dressing code than a uniform. I was always jealous of girls from religious schools who had to wear skirts. ,1,0,0,0
@F_A_B_ULOUS all are taken dear ,0,1,1,0
@likeomgitserika haha. Yup! I had to find the strongest cologne after watching SAW 5. LOL.  Scents sorta affect the unconscious. ,1,1,1,0
"@xmayaarix ooohh I haven't heard of those, will have to try to find them at the bookstore or Staples later thanks for the rec! ",1,1,1,0
@molds13 get your butt on Vevmo and gab with me and Stacee ,1,1,0,0
Watching the Super 14 final.  Not hopeful for the Chiefs... ,0,1,1,1
@MandyyJirouxx  ur now going to have 7 yrs of bad luck. sorry ,0,0,0,0
@moosep No worries. I didn't take it as a harse comment.  Sorry you've had a rough day.,1,0,0,0
@shankargan That's not a good news ,0,1,1,1
@emilyivey I didn't know you had a blog! URL pleazzzze! ,1,0,0,0
@JustBeeingBee shut up im tired of talkin to your stupid ass  go read my status and let it soak in to your sad ass,1,0,0,0
@ie89master It will be all about /Lebron &amp; Shaq..and Hideo?  ,1,1,1,1
We showing the lakers how to do magic ,1,1,1,1
http://twitpic.com/7gqv6 - Just a 5 min walk from the house ,1,1,1,1
@Lhasapso killed my itunes  uninstalling.?,0,0,0,0
@w00dRabbit *appalled* But I am always good.... *sigh* ,0,1,1,0
ive gotta go to school soon!   WHY I DONT EVEN LIKE SMOOTHIES!,0,0,0,0
@iamdiddy he needs to come to da hornets ,0,0,0,0
@s_soliloquy Cool. I'm inside. ,1,1,1,1
"@SofiaMiller why do you know Tagalog? i'm not really a native speaker of Tagalog, but i know some stuff.  this is cool! lol.",1,1,1,0
"my camera is not working, holy eeeffff ",0,0,0,0
@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon ,1,1,1,0
"is discovering the coolness that is blip.fm, in case it wasn't clear ",1,1,1,0
Heartbroken again!!!  ,0,1,1,0
@joeferg hope everything is okay ,0,1,1,1
"@aplusk they have nudity in commercials in other countries, why are we so backwards in the US?  ",0,1,1,1
"Masala Wok with @CabbyJames was awesome and enlightening, as always. Great to be back in Houston! ",1,1,1,1
@BrittanyASnow will u follow @natsha_x ? thanks hun ,1,1,1,1
@luie01 not overly i can scrunch it so the curl is there. Still sat waiting ,0,0,1,0
@paulabdulfan Its Proper Cute!  Lol! =P,1,1,1,0
@khali_blache Me too ,1,1,1,1
"When someone says &quot;I had a nightmare about you&quot; I feel badass. &quot;Yeah, I'm the stuff nightmares are made of!&quot; ...Unless it was a sex dream ",0,0,0,0
@popculturezoo good to know that the implosions aren't too much of a deterrent. LOL. Let me know if I can do anything to help out! ,1,1,1,0
Going To Go See My Younger Brother Whos Home For A Visit ,1,0,0,1
"@tommcfly oi,te amo *-* (u don't need google translate this time,did u ?  )",1,0,0,0
...still can't get over the judge calling me an apple  raccoon eyes for the win from sunburn with shades on.,0,0,0,0
6 Days til DISNEY WORLD!!!!  YIPPEEE!!!,1,1,1,1
is heading to the big reunion dinner. Disappointed in a few folks who still live in town but aren't coming. ,0,0,0,0
thinking about getting dressed &amp; going to empty *everything* for artshows out of my probably totalled car ,0,0,0,0
Can't sleep  Where is the off button on this damned thing?,0,0,0,0
wants to compete! i want hard competition! i want to rally. i want to feel the power coming out of the engine! i want to compete ,0,0,0,1
Got a sink full of dishes to do before I can go play ,0,0,1,0
"@dmitry i don't miss sports, either  (xbmc x3, tivo x3, myth x1, xbox360+netflix+streaming for me... might make the mac mini jump...)",1,0,0,0
@juicystar007 Both of you ,1,1,1,1
@imopclan stalked her ip &amp; myspace as well as royal pirates' and everything matched up. We're pretty sure she really is moonchul's sis ,1,1,1,1
"working on saturday, ",0,0,0,0
I like when famous people follow all their followers back.  why can't more do it?,1,0,1,1
"back in Germany, expenses expenses expenses..and of course checking my new friends from CIGNA ",1,1,1,0
@maxime68 Yes a FB page for LVEAN but there is no reczp on it too bad ,0,0,1,0
The Wrestler - Springsteen ... kill me a lot  one of my fav's of him â¥,0,1,1,1
Here itÂ´s sou sou borinq  . what can I do ? My Mum is at my brothers Kinderqarden .,0,1,1,0
tomorrow is gonna be ggreeaat!! uhuu!.. but in the same time all school is gonna be cry!.. including me  i gonna miss everyone!,0,0,0,0
might get another dog soon! ,1,0,1,1
Goood morning! Math exam soon ,0,0,0,0
"@samvarnham haha, its my second. its better this time  earlier her status was saying about replying and loves reading the letters ",1,1,1,0
Feel a li'l bit downer at the mo'...so i better hush up b4 it ruin the friday luv  TY for another luvin friday tweethearts! x,1,1,1,0
@sianhughes_ oh damn  imma go stalk greenly estates :} NOM,0,0,0,0
@Jesse It's crazy how as cameras keep getting bigger cards seem smaller and smaller  I currently shoot an 8GB CF and the 5DmkII fills it!,0,0,0,0
@alexibear can I get the lead role??? pwetty please...LMAO JK! ,1,1,1,1
"So cold in here, im sick. Where the hell is utaaaaaaaaa ",0,0,0,0
bought BB Bold from net cuz the prices in Q8 R crazy ( ya3ny la3eb-ha 9a7) but it got held in customs &amp; they wnt a fee so i'm paying more ,0,0,1,0
 This was supposed to be a GOOD weekend...,0,1,1,1
"@pageoneresults Ah cool, that's useful, I'll use that link as an example! (Great marketing idea  ) Thanks again",1,1,1,1
Stevey? Please don't let go of Boom Blox ,0,0,0,0
my life is miserable right now  the only little plus thing is that we're gonna go shopping soon!! i swear i'll go CRAZY in forever 21 !,0,1,1,0
"@AshleyTaylor_x3 Ha, she's the one that needs to be good to me, she verbally and physically assaults me on a regular basis ",0,1,1,0
"@JoshMiller Nah, I didn't go. I didn't know about it until last night and I had to work today. Couldn't get there in time! ",0,0,0,0
"@_ophelia lol its too big for free yousendit, lol will have to split it ",0,1,1,1
is bummed out  http://plurk.com/p/11j9b7,0,0,0,0
"It feels good to read a book again even when u've read that book about 10 times, its still good ",1,1,1,1
@BearsOnPatrol 10 Twollars to get you started ,1,0,0,1
Is surprisingly busy this morning ,1,1,1,1
@blindcripple I've just gotten into the whole hoodie thing - &amp; the need to participate in corruption &amp; bribery followed  #momentofweakness,0,0,1,0
"have to make a trip upstairs at xenos now, new class ",1,1,1,1
@dannylohner Horray for productivity! ,1,1,1,1
Using all the brain cells I have left to figure out how to start an on-line charity  They are out of practice,1,0,0,0
"Writing a blog about bing.com, but the site is really slow ",0,0,1,0
@Arcania thats no fun ,0,1,1,1
"@alittlevoice Did you enjoy all of THAT scene too, Hannah? Oh the lolz. Poor Wendla ",0,0,0,0
Tuto Uranium re-uploaded and ready to relaunch ,1,1,1,0
"@CosmoHavanese this is a tough #pawpawty to dress for, eh? maybe you &amp; @MozartDane could slip on some converse &amp; call it a day. ",1,1,1,0
contemplating housecleaning wishing 4 more #1 ladies dtec stories &amp; trying 2 accept may have 2 stay here ,0,0,0,0
Rt @Birgit_ @joenoia douche in my native language means &quot;shower&quot;  http://tinyurl.com/axwru,1,0,0,0
Sunday morning. Need to relax and let this day go slow. Back to work tomorrow  Why does that always happen?,0,0,0,0
@jpmann3 ugh! Give me a shout out  that'll make it better xoxo Lena,1,1,0,1
@eelectroshockk  thank you,1,1,1,1
@songbookbaby LOL.. Cool cool.. Sounds like you prefer the anonymous angle for the time being lol Don't be a punk! ,1,0,1,1
with newsomee! ,1,1,1,0
I'm eating goldfish  The colorful kind. Can't wait till tommorow! Missing Brynne &amp; Katie and all my other Besties [Missing Jackie &amp; Mimi],1,0,0,0
@larrybirkhead Dannielynn is addorable and is growing up so fast ,0,0,1,0
my latest R/K fanvid  http://bit.ly/wJMqn  impatiently waiting for tmrw...,1,1,1,0
"@pmatty Ya, easily. We got Italian herbs and Sauce + Mince Meat. Too easy. ",1,0,1,1
going to work ,0,0,0,0
"I'm usually right all the time..... And when I'm wrong, I'm right for being wrong! ",1,0,0,0
Highly approves of her new drummer. ,1,1,1,1
"@BradSabbath well I have one. I don't have the ejaculating dick, tho I could make a phone call and have one here. (it's for science  )",1,0,0,0
@SamGuevara  why ? will u stil have ur ipod ?,0,1,1,0
@steitiyeh -glad to have  been of assistance  Whatch them power in once that puppy is fixed! ,1,1,1,0
Can I go home yet ,0,0,0,1
Torn btwn UP and Drag Me to Hell. Although I may just chuck all that and just go drinking at Red Brick Station... ,1,0,1,1
Updating the ONM 'Where Doest Thou Liveth?' thread. ,1,0,1,0
that voice in side your head saying... your just...just a dummyyyy   Hm,1,1,0,0
@ptabe Dude dunno if u got me txt but I will most likely be heading home tonight missing out on mr db ,0,0,0,0
@piticu21 4n? ma rog  never heard of it  esti beat acum? u tweet too much ,1,1,1,0
can't sleep at the moment. my gf loses her job in just over a month.  I'm sure she will find something. just not sure what.,0,0,0,0
Amy friggin' rocks ,1,1,1,1
"http://bit.ly/rdNz0  &lt; I can't think of anything, which is more senseless.......! ",1,0,0,0
@nata1337 how's the job search going ,0,1,1,0
I'm glad our 2hr wait is finally over  -time to eat. Haa,1,1,1,0
@mcm17 yeah I think I'm going to sue them for discriminating against us vegos! Everytime I see it I feel looked down upon and I cry! ,0,0,0,0
@include You got an course like that in your degree? Never heard of it ,1,1,1,0
life is a lemon and i want my money back ,1,0,0,1
"Ignorance &amp; discrimination rapidly spreading. Step 1: California, USA. Step 2: Alberta, Canada. All this is making me sad   #Bill44",0,0,0,0
"@iammatthewlane, well, look on the bright side, at least she is talking to you ",1,1,1,1
Today feels like it's been about a month long. The next nine days are going to be about an eternity long. Hope I sleep in tomorrow. ,1,0,0,0
at the African airport waiting for our flight! ,1,0,1,1
